KRS1222;Kreisname;fl_suv;fl_landw;fl_wald;bev_binw;bev_ausw;ko_kasskred;bev_u18;bev_18_65;bev_ue65;bev_ausl;mitgl_sportv;ew_sportv;preis_miet;wohn_eigen;wohn_leer;wohn_EZFH;wohn_MFH;heiz_wohn_best;heiz_wohn;bquali_unifh;bquali_mabschl;bquali_oabschl;erw_wachs;erw_mini;erw_minineben;alq;schulden;sozsich;auto;v_harzt;v_karzt;schule_oabschl;kbetr_u3;kbetr_ue3;kbetr_ue6;kinder_bg;straft;einbr
3361000;Verden;15,26;66,74;13,69;73,59;141,22;0;18,11;58,98;22,9;9,91;36,55;134,83;8,50 bis unter 10,00;59,4;3,65;23,4;15;5,08;43,99;12,16;61,96;16,34;1,37;10,22;7,23;3,91;6,71;6,41;632,3;63,5;44,4;4,84;31,81;86,58;20,27;9,12;5379,21;99,35
3401000;Delmenhorst, Stadt;49,53;44,55;3,7;20,54;121,96;0;18,21;59,51;22,28;18,6;18,87;72,72;7,00 bis unter 8,50;44,9;3,58;10,3;16,7;1,57;38,21;10,4;62,01;15,32;0,62;12,91;7,79;10,26;13,1;15,04;546,4;59,3;43,8;6,23;21,54;74,78;15,63;21,31;7168,46;79,10
3402000;Emden, Stadt;28,35;60,29;2,23;28,89;226,97;0;16,96;61,53;21,52;13,23;32,68;102,9;7,00 bis unter 8,50;44,8;4,17;9,3;11,7;1,29;22,64;9,65;70,12;10,87;-0,11;8,62;4,57;8,09;12,45;12,93;504,6;60,8;42,2;14,51;27,89;82,13;15,95;22;8447,61;69,26
3403000;Oldenburg (Oldenburg), Stadt;59,35;28,17;6,98;-18,4;187,81;0;15,65;64,74;19,61;12,82;22,74;60,75;8,50 bis unter 10,00;35,5;2,97;17;42;2,24;32,38;22,23;57,72;12,47;0,93;9,8;6,62;6,34;8,3;11,85;521,3;61,9;82,2;5,85;41,31;94,68;23,48;19,02;8659,95;131,92
3404000;Osnabrück, Stadt;50,2;30,08;17,21;-71,46;233,86;0;15,47;65,91;18,62;16,29;26,01;59,75;8,50 bis unter 10,00;30,2;3,1;2,6;14,8;2,85;40;20,05;57,96;13,95;0,98;11,03;8,21;7,22;10,5;11,95;532,7;67,2;75;6,32;34,38;89,99;32,78;17,78;11039,28;93,21
3405000;Wilhelmshaven, Stadt;44,8;38,41;10,31;43,9;184;0;15,36;58,75;25,89;12,37;20,13;78,86;5,50 bis unter 7,00;28,9;6,77;1,4;8,3;0,95;4,05;11,74;65,21;13,6;-0,03;8,43;5,18;11,02;14,75;16,61;527,7;68;56,2;7,07;24,81;83,89;16,31;28,65;12110,82;201,08
3451000;Ammerland;17,6;67,53;10,9;58,56;116,8;22,49;17,46;58,72;23,83;8,07;34,36;131,77;8,50 bis unter 10,00;58,9;3,11;27,8;37,4;3,76;36,42;9,84;67,52;12,79;1,72;10,5;7,4;4,53;6,37;6,41;640,4;71,1;40,4;6,74;38,04;94,05;14,92;9,14;3938,31;60,82
3452000;Aurich;14,92;72,16;4,54;58;104,39;187,85;16,44;59,44;24,12;6,93;34,05;146,82;7,00 bis unter 8,50;62,9;3,96;21,1;19,6;2,53;26,6;10,48;67,44;13,1;0,87;13,97;7,32;6,1;8,91;8,19;628,6;62,2;43,2;9,61;24,66;93,1;14,74;12,85;5596,86;66,64
3453000;Cloppenburg;14,31;66,64;14,14;47,95;159,99;11,11;20,25;62,55;17,2;13,89;28,77;95,1;7,00 bis unter 8,50;58,3;2,61;42,1;20,6;5,88;32,16;7,65;61,57;16,22;1,94;10,87;8,37;4,21;8,25;6,04;602,6;50,1;33,4;8,68;29,56;85,64;10,87;8,27;4004,48;46,14
3454000;Emsland;13,81;60,07;19;67,36;147,11;1,6;18,31;61,77;19,92;13,41;35,3;97,91;7,00 bis unter 8,50;61,6;2,87;39;25,9;5,77;40,8;10,51;67,56;11,89;1,38;11,87;7,55;3,26;7,4;5,45;624,3;55,1;43,7;7;36,9;92,94;11,9;6,58;5387,04;47,92
